Data;Comercial_GWh;Residencial_GWh;Industrial_GWh;Outros_GWh;Brasil_GWh
jan/88;1.905;3.581;8.219;2.093;15.798
fev/88;1.826;3.345;8.201;2.007;15.379
mar/88;1.806;3.301;8.343;2.016;15.466
abr/88;1.904;3.55;8.472;2.161;16.087
mai/88;1.719;3.258;8.073;2.067;15.117
jun/88;1.727;3.32;8.315;2.12;15.482
jul/88;1.7;3.291;8.494;2.164;15.649
ago/88;1.606;3.171;8.521;2.231;15.529
set/88;1.803;3.501;8.768;2.346;16.418
out/88;1.792;3.443;8.69;2.361;16.286
nov/88;1.729;3.367;8.221;2.275;15.592
dez/88;1.82;3.408;8.21;2.356;15.794
jan/89;1.89;3.528;8.085;2.379;15.882
fev/89;1.907;3.636;8.088;2.375;16.006
mar/89;1.832;3.476;7.595;2.329;15.232
abr/89;1.938;3.717;8.55;2.305;16.51
mai/89;1.801;3.555;8.259;2.257;15.872
